date,event,category
1832,Shaker covenant is revised,The Shakers
1833,,
1834,,
1835,,
1836,,
1837,The Panic of 1837 (economic crisis),Context
1838,,
1839,School centralized for whole community at Mount Lebanon,The Shakers
1840,Warnings on worldly 'superfluities' written on Holy Laws of Zion,The Shakers
1841,Climax of the revivalism of early Shaker values through 'Mother Ann's Work',The Shakers
1842,,
1843,Belivers begin questioning authenticity of 'gifts',The Shakers
1844,"The Shakers reach their peak at 6,000 Believers",The Shakers
1845,Engels alludes to Shakerism as a practicable communist system,Context
1846,Catholic monasticism in the United States exhibits constant growth,Context
1847,Joseph Brackett writes the song 'Simple Gifts',The Shakers
1848,Marx and Engels publish The Communist Manifesto,Context
1849,,
1850,NY State demands Shakers report property,The Shakers
1851,,
1852,George O’Donnell invents the modern Shaker tilting chair,The Shakers
1853,,
1854,,
1855,,
1856,,
1857,,
1858,David Parker invents a clothes washing machine,The Shakers
1859,,
1860,,
1861,Civil War,Context
1862,1 in 10 Shaker children resist call to the world at maturity,The Shakers
1863,The Shakers become some of the first conscientious objectors in the US,The Shakers
1864,,
1865,,
1866,53 Swedes have accepted Shaker doctrine,The Shakers
1867,Marx publishes Das Kapital,Context
1868,,
1869,,
1870,Second Industrial Revolution,Context
1871,Mission to England to publicize the order,The Shakers
1872,,
1873,,
1874,Shaker centennial celebrations,The Shakers
1875,"Total population of Believers recorded at 2,500",The Shakers
1876,Shakers have 58 brethren for every 100 sisters,The Shakers
1877,,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,,
1886,Only occasion Shakers support a presidential candidate: Henry George,The Shakers
1887,,
1888,Shakers enter into relation with Leo Tolstoy,The Shakers
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,"Total population of Believers recorded at 1,000",The Shakers
1901,Barriers against worldly society lowered,The Shakers
1902,,
1903,,
1904,,
1905,Shaker Peace Convention at Mount Lebanon,The Shakers
1906,,
1907,,
1908,,
1909,Shakers optimism is fed by hope of divine intervention,The Shakers
1910,,
1911,,
1912,,
1913,,
1914,WWI,Context
1915,,
1916,,
1917,,
1918,,
1919,,
1920,,
1921,,
1922,Elders at New Lebanon decide to sell all property at auction,The Shakers
1923,,
1924,,
1925,,
1926,,
1927,,
1928,,
1929,Great Depression,Context
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,Shakers believe their work is complete,The Shakers
1937,,
1938,,
1939,,
1940,,
1941,America joins WWII,Context
1942,,
1943,,
1944,,
1945,,
1946,,
1947,Mount Lebanon closes,The Shakers
1948,,
1949,,
1950,,
1951,,
1952,,
1953,50 Believers of the order remain,The Shakers
1954,,
1955,,
1956,,
1957,The Canterbury Eldresses vote to close the Shaker covenant,The Shakers
1958,,
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,12 Believers remain in two colonies,The Shakers
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,,
2001,,
2002,,
2003,,
2004,,
2005,,
2006,,
2007,,
2008,,
2009,,
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,
